DEBUG , 29 , 2023-08-11 09:11:57,336 , /main.bit
DEBUG , 31 , 2023-08-11 09:11:57,336 , main
DEBUG , 39 , 2023-08-11 09:12:24,663 , doFilter----/main.bit
DEBUG , 42 , 2023-08-11 09:12:24,663 , doFilter----/main.bit
DEBUG , 50 , 2023-08-11 09:12:27,974 , doFilter3----.bit
DEBUG , 29 , 2023-08-11 09:12:29,274 , /main.bit
DEBUG , 31 , 2023-08-11 09:12:29,276 , main
DEBUG , 39 , 2023-08-11 09:12:31,003 , doFilter----/favicon.ico
DEBUG , 42 , 2023-08-11 09:12:31,003 , doFilter----/favicon.ico
DEBUG , 50 , 2023-08-11 09:12:33,222 , doFilter3----.ico
DEBUG , 39 , 2023-08-11 09:12:35,500 , doFilter----/main.bit
DEBUG , 42 , 2023-08-11 09:12:35,500 , doFilter----/main.bit
DEBUG , 50 , 2023-08-11 09:12:37,831 , doFilter3----.bit
DEBUG , 29 , 2023-08-11 09:12:38,841 , /main.bit
DEBUG , 31 , 2023-08-11 09:12:38,842 , main
DEBUG , 39 , 2023-08-11 09:13:05,922 , doFilter----/main.bit
DEBUG , 42 , 2023-08-11 09:13:05,923 , doFilter----/main.bit
DEBUG , 50 , 2023-08-11 09:13:08,969 , doFilter3----.bit
DEBUG , 29 , 2023-08-11 09:13:08,969 , /main.bit
DEBUG , 31 , 2023-08-11 09:13:08,969 , main
DEBUG , 39 , 2023-08-11 09:13:09,020 , doFilter----/favicon.ico
DEBUG , 42 , 2023-08-11 09:13:09,020 , doFilter----/favicon.ico
DEBUG , 50 , 2023-08-11 09:13:09,020 , doFilter3----.ico
DEBUG , 39 , 2023-08-11 09:13:09,023 , doFilter----/main.bit
DEBUG , 42 , 2023-08-11 09:13:09,024 , doFilter----/main.bit
DEBUG , 50 , 2023-08-11 09:13:09,024 , doFilter3----.bit
DEBUG , 29 , 2023-08-11 09:13:09,024 , /main.bit
DEBUG , 31 , 2023-08-11 09:13:09,024 , main
DEBUG , 25 , 2023-08-11 09:16:12,583 , Log4J Logging started: /Users/chaeminlee/Documents/LotteBitWorkspace/bit2023/mybatis1/target/mybatis1-1.0-SNAPSHOT/WEB-INF/log4j.properties
DEBUG , 39 , 2023-08-11 09:16:13,235 , doFilter----/
DEBUG , 42 , 2023-08-11 09:16:13,236 , doFilter----/
DEBUG , 39 , 2023-08-11 09:16:13,239 , doFilter----/main.bit
DEBUG , 42 , 2023-08-11 09:16:13,239 , doFilter----/main.bit
DEBUG , 50 , 2023-08-11 09:16:13,239 , doFilter3----.bit
DEBUG , 29 , 2023-08-11 09:16:13,239 , /main.bit
DEBUG , 31 , 2023-08-11 09:16:13,239 , main
DEBUG , 39 , 2023-08-11 09:16:13,931 , doFilter----/
DEBUG , 42 , 2023-08-11 09:16:13,931 , doFilter----/
DEBUG , 39 , 2023-08-11 09:16:13,932 , doFilter----/main.bit
DEBUG , 42 , 2023-08-11 09:16:13,932 , doFilter----/main.bit
DEBUG , 50 , 2023-08-11 09:16:13,932 , doFilter3----.bit
DEBUG , 29 , 2023-08-11 09:16:13,932 , /main.bit
DEBUG , 31 , 2023-08-11 09:16:13,932 , main
DEBUG , 39 , 2023-08-11 09:16:13,966 , doFilter----/
DEBUG , 42 , 2023-08-11 09:16:13,968 , doFilter----/
DEBUG , 39 , 2023-08-11 09:16:13,970 , doFilter----/main.bit
DEBUG , 42 , 2023-08-11 09:16:13,970 , doFilter----/main.bit
DEBUG , 50 , 2023-08-11 09:16:13,970 , doFilter3----.bit
DEBUG , 29 , 2023-08-11 09:16:13,970 , /main.bit
DEBUG , 31 , 2023-08-11 09:16:13,970 , main
DEBUG , 39 , 2023-08-11 09:16:14,213 , doFilter----/favicon.ico
DEBUG , 42 , 2023-08-11 09:16:14,214 , doFilter----/favicon.ico
DEBUG , 50 , 2023-08-11 09:16:14,214 , doFilter3----.ico
DEBUG , 39 , 2023-08-11 09:16:14,216 , doFilter----/main.bit
DEBUG , 42 , 2023-08-11 09:16:14,216 , doFilter----/main.bit
DEBUG , 50 , 2023-08-11 09:16:14,217 , doFilter3----.bit
DEBUG , 29 , 2023-08-11 09:16:14,217 , /main.bit
DEBUG , 31 , 2023-08-11 09:16:14,217 , main
DEBUG , 39 , 2023-08-11 09:18:27,211 , doFilter----/main.bit
DEBUG , 42 , 2023-08-11 09:18:27,213 , doFilter----/main.bit
DEBUG , 50 , 2023-08-11 09:18:27,215 , doFilter3----.bit
DEBUG , 29 , 2023-08-11 09:18:27,215 , /main.bit
DEBUG , 31 , 2023-08-11 09:18:27,215 , main
DEBUG , 39 , 2023-08-11 09:18:27,282 , doFilter----/favicon.ico
DEBUG , 42 , 2023-08-11 09:18:27,282 , doFilter----/favicon.ico
DEBUG , 50 , 2023-08-11 09:18:27,282 , doFilter3----.ico
DEBUG , 39 , 2023-08-11 09:18:27,285 , doFilter----/main.bit
DEBUG , 42 , 2023-08-11 09:18:27,285 , doFilter----/main.bit
DEBUG , 50 , 2023-08-11 09:18:27,285 , doFilter3----.bit
DEBUG , 29 , 2023-08-11 09:18:27,285 , /main.bit
DEBUG , 31 , 2023-08-11 09:18:27,285 , main
DEBUG , 39 , 2023-08-11 09:18:30,726 , doFilter----/main.bit
DEBUG , 42 , 2023-08-11 09:18:30,727 , doFilter----/main.bit
DEBUG , 50 , 2023-08-11 09:18:30,727 , doFilter3----.bit
DEBUG , 29 , 2023-08-11 09:18:30,729 , /main.bit
DEBUG , 31 , 2023-08-11 09:18:30,729 , main
DEBUG , 39 , 2023-08-11 09:18:30,781 , doFilter----/favicon.ico
DEBUG , 42 , 2023-08-11 09:18:30,782 , doFilter----/favicon.ico
DEBUG , 50 , 2023-08-11 09:18:30,782 , doFilter3----.ico
DEBUG , 39 , 2023-08-11 09:18:30,783 , doFilter----/main.bit
DEBUG , 42 , 2023-08-11 09:18:30,783 , doFilter----/main.bit
DEBUG , 50 , 2023-08-11 09:18:30,784 , doFilter3----.bit
DEBUG , 29 , 2023-08-11 09:18:30,784 , /main.bit
DEBUG , 31 , 2023-08-11 09:18:30,784 , main
DEBUG , 39 , 2023-08-11 09:18:33,141 , doFilter----/cust.bit
DEBUG , 42 , 2023-08-11 09:18:33,143 , doFilter----/cust.bit
DEBUG , 50 , 2023-08-11 09:18:33,143 , doFilter3----.bit
DEBUG , 29 , 2023-08-11 09:18:33,144 , /cust.bit
DEBUG , 31 , 2023-08-11 09:18:33,145 , cust
DEBUG , 39 , 2023-08-11 09:18:33,389 , doFilter----/favicon.ico
DEBUG , 42 , 2023-08-11 09:18:33,389 , doFilter----/favicon.ico
DEBUG , 50 , 2023-08-11 09:18:33,389 , doFilter3----.ico
DEBUG , 39 , 2023-08-11 09:18:33,395 , doFilter----/main.bit
DEBUG , 42 , 2023-08-11 09:18:33,395 , doFilter----/main.bit
DEBUG , 50 , 2023-08-11 09:18:33,395 , doFilter3----.bit
DEBUG , 29 , 2023-08-11 09:18:33,395 , /main.bit
DEBUG , 31 , 2023-08-11 09:18:33,395 , main
DEBUG , 39 , 2023-08-11 09:18:34,377 , doFilter----/cust.bit
DEBUG , 42 , 2023-08-11 09:18:34,378 , doFilter----/cust.bit
DEBUG , 50 , 2023-08-11 09:18:34,378 , doFilter3----.bit
DEBUG , 29 , 2023-08-11 09:18:34,378 , /cust.bit
DEBUG , 31 , 2023-08-11 09:18:34,378 , cust
DEBUG , 39 , 2023-08-11 09:18:34,838 , doFilter----/favicon.ico
DEBUG , 42 , 2023-08-11 09:18:34,838 , doFilter----/favicon.ico
DEBUG , 50 , 2023-08-11 09:18:34,838 , doFilter3----.ico
DEBUG , 39 , 2023-08-11 09:18:34,840 , doFilter----/main.bit
DEBUG , 42 , 2023-08-11 09:18:34,840 , doFilter----/main.bit
DEBUG , 50 , 2023-08-11 09:18:34,840 , doFilter3----.bit
DEBUG , 29 , 2023-08-11 09:18:34,840 , /main.bit
DEBUG , 31 , 2023-08-11 09:18:34,840 , main
DEBUG , 39 , 2023-08-11 09:18:38,027 , doFilter----/main.bit
DEBUG , 42 , 2023-08-11 09:18:38,029 , doFilter----/main.bit
DEBUG , 50 , 2023-08-11 09:18:38,029 , doFilter3----.bit
DEBUG , 29 , 2023-08-11 09:18:38,029 , /main.bit
DEBUG , 31 , 2023-08-11 09:18:38,030 , main
DEBUG , 39 , 2023-08-11 09:18:38,136 , doFilter----/favicon.ico
DEBUG , 42 , 2023-08-11 09:18:38,136 , doFilter----/favicon.ico
DEBUG , 50 , 2023-08-11 09:18:38,136 , doFilter3----.ico
DEBUG , 39 , 2023-08-11 09:18:38,137 , doFilter----/main.bit
DEBUG , 42 , 2023-08-11 09:18:38,137 , doFilter----/main.bit
DEBUG , 50 , 2023-08-11 09:18:38,137 , doFilter3----.bit
DEBUG , 29 , 2023-08-11 09:18:38,137 , /main.bit
DEBUG , 31 , 2023-08-11 09:18:38,137 , main
DEBUG , 39 , 2023-08-11 09:18:39,029 , doFilter----/product.bit
DEBUG , 42 , 2023-08-11 09:18:39,030 , doFilter----/product.bit
DEBUG , 50 , 2023-08-11 09:18:39,030 , doFilter3----.bit
DEBUG , 29 , 2023-08-11 09:18:39,030 , /product.bit
DEBUG , 31 , 2023-08-11 09:18:39,030 , product
DEBUG , 39 , 2023-08-11 09:18:39,087 , doFilter----/favicon.ico
DEBUG , 42 , 2023-08-11 09:18:39,087 , doFilter----/favicon.ico
DEBUG , 50 , 2023-08-11 09:18:39,087 , doFilter3----.ico
DEBUG , 39 , 2023-08-11 09:18:39,093 , doFilter----/main.bit
DEBUG , 42 , 2023-08-11 09:18:39,093 , doFilter----/main.bit
DEBUG , 50 , 2023-08-11 09:18:39,093 , doFilter3----.bit
DEBUG , 29 , 2023-08-11 09:18:39,093 , /main.bit
DEBUG , 31 , 2023-08-11 09:18:39,093 , main
DEBUG , 39 , 2023-08-11 09:18:45,176 , doFilter----/favicon.ico
DEBUG , 42 , 2023-08-11 09:18:45,177 , doFilter----/favicon.ico
DEBUG , 50 , 2023-08-11 09:18:45,178 , doFilter3----.ico
DEBUG , 39 , 2023-08-11 09:18:45,181 , doFilter----/main.bit
DEBUG , 42 , 2023-08-11 09:18:45,181 , doFilter----/main.bit
DEBUG , 50 , 2023-08-11 09:18:45,181 , doFilter3----.bit
DEBUG , 29 , 2023-08-11 09:18:45,181 , /main.bit
DEBUG , 31 , 2023-08-11 09:18:45,181 , main
DEBUG , 39 , 2023-08-11 09:18:47,674 , doFilter----/main.bit
DEBUG , 42 , 2023-08-11 09:18:47,674 , doFilter----/main.bit
DEBUG , 50 , 2023-08-11 09:18:47,674 , doFilter3----.bit
DEBUG , 29 , 2023-08-11 09:18:47,675 , /main.bit
DEBUG , 31 , 2023-08-11 09:18:47,675 , main
DEBUG , 39 , 2023-08-11 09:18:47,722 , doFilter----/favicon.ico
